,,accuracy,precision,recall,f1,roc_auc
Pre-flop,Logistic Regression,0.9415907207953604,0.6066176470588235,0.8291457286432161,0.7006369426751592,0.8970745374729177
Pre-flop,Random Forest,0.9689312344656172,0.7980769230769231,0.8341708542713567,0.8157248157248157,0.9658212053495467
Pre-flop,Gradient Boosting,0.9685169842584921,0.7942583732057417,0.8341708542713567,0.8137254901960784,0.9701192191204329
Flop,Logistic Regression,0.9778781038374718,0.8966480446927374,0.963963963963964,0.9290882778581766,0.9889780854180431
Flop,Random Forest,0.9778781038374718,0.9493670886075949,0.9009009009009009,0.9244992295839753,0.992617750587995
Flop,Gradient Boosting,0.9932279909706546,0.9818181818181818,0.972972972972973,0.9773755656108597,0.9956375078585493
Turn,Logistic Regression,0.9457252641690682,0.6245210727969349,0.9157303370786517,0.7425968109339408,0.9797971154754037
Turn,Random Forest,0.9721421709894332,0.9054054054054054,0.7528089887640449,0.8220858895705522,0.9742927367576244
Turn,Gradient Boosting,0.9860710854947167,0.9209039548022598,0.9157303370786517,0.9183098591549296,0.9963191034840903
River,Logistic Regression,0.9512522361359571,0.5404040404040404,0.856,0.6625386996904025,0.979084793936523
River,Random Forest,0.9521466905187835,0.6022727272727273,0.424,0.49765258215962443,0.9520018948365704
River,Gradient Boosting,0.9847942754919499,0.9099099099099099,0.808,0.8559322033898306,0.9918635717669351
